,Time,GPS_Data,GPS_Time,Sound Pressure,Humidity,PM1.0,PM2.5,PM10,Solar Light,Air Temperature,North_Wind,East_Wind,Gust_Wind,TGlobe,Latitude,Longitude,Wind Speed,MRT,MRT_S,UTCI
454,2023-06-19 15:28:44,60180.0,53647269.0,787.7575757575758,50.76920792079208,4.0,5.9,7.0,0.0,25.100000381469727,-0.7549999952316284,-1.1349999904632568,1.3949999809265137,25.100000381469727,51.514829104,-0.064797133,1.3631764270083868,25.100000381469727,25.100000381469727,24.5
455,2023-06-19 15:28:45,60180.0,53648269.0,835.62,50.77,4.0,6.0,7.0,0.0,25.100000381469727,-1.6399999856948853,-0.6100000143051147,1.774999976158142,25.100000381469727,51.514832768,-0.064775488,1.7497714052216833,25.100000381469727,25.100000381469727,24.1
456,2023-06-19 15:28:46,60180.0,53649269.0,827.7575757575758,50.78940594059406,4.0,6.0,7.0,0.0,25.100000381469727,-1.5950000286102295,-0.5250000357627869,1.6799999475479126,25.100000381469727,51.514835804,-0.064754604,1.6791813865147387,25.100000381469727,25.100000381469727,24.2
457,2023-06-19 15:28:47,60180.0,53650269.0,822.929292929293,50.83900990099009,4.0,6.0,7.0,0.0,25.200000762939453,-1.9600000381469727,0.4300000071525574,2.009999990463257,25.200000762939453,51.514837627,-0.064734671,2.006614102334411,25.200000762939453,25.200000762939453,23.9
458,2023-06-19 15:28:48,60180.0,53651169.0,832.7474747474747,50.8796,4.0,6.0,7.56,0.0,25.299999237060547,-0.9599999785423279,0.5350000262260437,1.2999999523162842,25.299999237060547,51.514841185,-0.064713489,1.0990109129863712,25.299999237060547,25.299999237060547,24.8
459,2023-06-19 15:28:49,60180.0,53652169.0,842.1818181818181,50.90970297029703,4.0,6.0,8.0,0.0,25.399999618530273,-0.8849999904632568,-0.4000000059604645,1.0,25.399999618530273,51.514846922,-0.064690164,0.9711977079299231,25.399999618530273,25.399999618530273,25.1
460,2023-06-19 15:28:50,60180.0,53653169.0,830.5656565656566,50.95,4.0,6.0,7.2,0.0,25.399999618530273,-1.1549999713897705,-0.6949999928474426,1.3700000047683716,25.399999618530273,51.514848979,-0.064668735,1.3479799419755163,25.399999618530273,25.399999618530273,24.8
461,2023-06-19 15:28:51,60180.0,53654169.0,800.22,50.97,4.04,6.04,7.04,0.0,25.5,-0.23000000417232513,-0.9800000190734863,1.0099999904632568,25.5,51.514854849,-0.064646227,1.0066280541010681,25.5,25.5,25.2
462,2023-06-19 15:28:52,60180.0,53655169.0,785.6938775510204,50.97,5.0,7.0,8.0,49.0990099009901,25.450000762939453,-0.6599999666213989,-0.8250000476837158,1.065000057220459,25.450000762939453,51.514860801,-0.064623026,1.056515515559701,25.450000762939453,26.50371008525275,25.2
463,2023-06-19 15:28:53,60180.0,53656169.0,768.01,50.97,5.29,7.0,8.0,40.633663366336634,25.19999885559082,-1.4149999618530273,-1.6500000953674316,2.234999895095825,25.19999885559082,51.514863243,-0.064601125,2.173643302558311,25.19999885559082,26.075011132091504,23.6
464,2023-06-19 15:28:54,60180.0,53657169.0,767.5959595959596,50.96940594059406,6.0,7.0,8.0,0.0,24.849998474121094,-0.4150000214576721,-2.555000066757202,2.5900001525878906,24.849998474121094,51.5148701,-0.064577093,2.58848418170542,24.849998474121094,24.849998474121094,22.8
465,2023-06-19 15:28:55,60180.0,53658169.0,755.3939393939394,50.9494,6.0,7.0,8.0,0.0,24.5,0.8399999737739563,-3.25,3.359999895095825,24.5,51.514874835,-0.064553751,3.356799063980483,24.5,24.5,21.3
